vcpu,ram_gb,nodes,dataset,task,target_cost,target_runtime,instance_type
2,7.5,2,santander,naive_bayes,0.0008459886542956,14.558122158050535,n1-standard-2
2,7.5,3,creditcard,naive_bayes,0.000458905700167,5.264692544937134,n1-standard-2
4,3.6,3,creditcard,kmeans,0.0018819355078935,14.45789122581482,n1-highcpu-4
2,2.0,3,buzz,logistic_regression,0.0096742425604617,213.15947031974792,e2-highcpu-2
2,1.8,2,creditcard,polynomial_features,0.0034630057665374,79.81319308280945,n1-highcpu-2
4,4.0,2,creditcard,spectral_clustering,0.0059734892362038,98.71360421180724,e2-highcpu-4
2,7.5,5,santander,logistic_regression,0.0196808532626099,135.47050046920776,n1-standard-2
2,7.5,5,buzz,kmeans,0.0057348157063457,39.47483086585999,n1-standard-2
2,16.0,2,buzz,polynomial_features,0.004063255976839,73.4957971572876,e2-highmem-2
4,32.0,4,creditcard,logistic_regression,0.0074714938293446,33.785921812057495,e2-highmem-4
2,1.8,3,santander,standard_scaler,0.001906536605815,29.293776273727417,n1-highcpu-2
2,1.8,2,creditcard,poisson_regression,0.0057358764973746,132.19689750671387,n1-highcpu-2
2,8.0,2,buzz,logistic_regression,0.0120575359650174,294.2058389186859,e2-standard-2
2,1.8,2,creditcard,linear_regression,0.0057201606063975,131.83468747138977,n1-highcpu-2
2,2.0,4,santander,linear_regression,0.0071573079238526,118.27654385566711,e2-highcpu-2
2,2.0,4,creditcard,standard_scaler,0.0005112941850582,8.449281454086304,e2-highcpu-2
2,8.0,3,buzz,standard_scaler,0.000479279517132,7.796332120895386,e2-standard-2
4,15.0,3,creditcard,polynomial_features,0.0041042573833465,23.542585372924805,n1-standard-4
4,4.0,2,buzz,logistic_regression,0.0175722863128153,290.3870162963867,e2-highcpu-4
4,4.0,3,creditcard,poisson_regression,0.0064694910472202,71.27344989776611,e2-highcpu-4
2,7.5,2,buzz,polynomial_features,0.0086261505819956,148.44236183166504,n1-standard-2
4,16.0,4,buzz,kmeans,0.0053476602465311,32.62094497680664,e2-standard-4
2,7.5,4,buzz,naive_bayes,0.0008770024428367,7.545910120010376,n1-standard-2
4,4.0,4,buzz,linear_regression,0.0341619569220574,282.26801466941833,e2-highcpu-4
2,8.0,2,santander,quantile_transformer,0.0045219156663576,110.33547782897948,e2-standard-2
4,3.6,4,buzz,quantile_transformer,0.0035262540401352,20.31772494316101,n1-highcpu-4
2,1.8,4,creditcard,xgboost,0.0015891073591179,18.312376737594604,n1-highcpu-2
4,15.0,4,santander,kmeans,0.0177955913062625,76.55847120285034,n1-standard-4
4,15.0,2,creditcard,xgboost,0.0021498377565277,18.497648000717163,n1-standard-4
2,8.0,3,creditcard,linear_regression,0.0046291457642853,75.30127310752869,e2-standard-2
2,7.5,3,creditcard,polynomial_features,0.0034385068538983,39.44749736785889,n1-standard-2
2,1.8,5,santander,kmeans,0.0107160889658663,98.79108905792236,n1-highcpu-2
2,2.0,4,santander,poisson_regression,0.0272021709924602,449.5235924720764,e2-highcpu-2
4,16.0,2,buzz,logistic_regression,0.0275007562836567,335.5114634037018,e2-standard-4
2,13.0,5,santander,kmeans,0.0177611699019206,98.14307236671448,n1-highmem-2
2,2.0,5,creditcard,logistic_regression,0.0032322654250323,42.73128247261048,e2-highcpu-2
2,7.5,3,creditcard,quantile_transformer,0.001237671467781,14.198907852172852,n1-standard-2
2,7.5,3,santander,linear_regression,0.0169422738604148,194.36643052101127,n1-standard-2
2,16.0,2,buzz,poisson_regression,0.0072004974571164,130.24193000793457,e2-highmem-2
2,16.0,2,creditcard,polynomial_features,0.001999728755486,36.17090821266174,e2-highmem-2
4,32.0,2,buzz,kmeans,0.0041583487288898,37.60791301727295,e2-highmem-4
4,15.0,4,creditcard,quantile_transformer,0.0019523076336118,8.399029016494751,n1-standard-4
4,26.0,4,buzz,standard_scaler,0.0018781035357051,6.486159563064575,n1-highmem-4
4,26.0,5,santander,standard_scaler,0.0081265885702106,22.452585458755493,n1-highmem-4
2,13.0,4,creditcard,xgboost,0.0021526131657494,14.86839485168457,n1-highmem-2
4,4.0,5,buzz,standard_scaler,0.0009203089162031,6.083346366882324,e2-highcpu-4
2,2.0,3,creditcard,standard_scaler,0.0004735157433354,10.433309316635132,e2-highcpu-2
2,1.8,2,buzz,xgboost,0.003010415046109,69.38216495513916,n1-highcpu-2
2,1.8,3,santander,naive_bayes,0.0014762159719665,22.68193554878235,n1-highcpu-2
2,2.0,2,creditcard,naive_bayes,0.0001943901368387,6.424704313278198,e2-highcpu-2
4,26.0,4,creditcard,linear_regression,0.015602904141532,53.8857011795044,n1-highmem-4
2,8.0,5,creditcard,logistic_regression,0.0034216972447931,33.39598774909973,e2-standard-2
2,2.0,3,creditcard,xgboost,0.0011377521288025,25.06890225410461,e2-highcpu-2
2,13.0,5,buzz,kmeans,0.0051847992576162,28.649696588516235,n1-highmem-2
2,13.0,3,santander,linear_regression,0.0219290365449587,201.95582389831543,n1-highmem-2
2,8.0,5,buzz,polynomial_features,0.0057217158127923,55.84431862831116,e2-standard-2
2,2.0,2,buzz,xgboost,0.0020906691818475,69.09780263900757,e2-highcpu-2
2,7.5,5,creditcard,quantile_transformer,0.0015721101115147,10.821408033370972,n1-standard-2
2,7.5,3,santander,naive_bayes,0.001311608797868,15.047137260437012,n1-standard-2
4,16.0,5,creditcard,standard_scaler,0.0010778371878862,5.259880542755127,e2-standard-4
4,3.6,5,creditcard,polynomial_features,0.0062917426264948,29.00163054466248,n1-highcpu-4
2,13.0,4,creditcard,logistic_regression,0.0050239106052451,34.70084071159363,n1-highmem-2
4,15.0,4,santander,logistic_regression,0.0265020065525902,114.01436853408812,n1-standard-4
2,7.5,5,santander,naive_bayes,0.002790494127406,19.207990169525143,n1-standard-2
2,7.5,4,creditcard,linear_regression,0.0071733814495934,61.7212553024292,n1-standard-2
4,26.0,5,buzz,kmeans,0.0110758565334479,30.600985050201416,n1-highmem-4
4,3.6,4,creditcard,linear_regression,0.0078821061549716,45.41546440124512,n1-highcpu-4
4,3.6,3,creditcard,linear_regression,0.0081123956570625,62.32314205169678,n1-highcpu-4
4,16.0,3,santander,kmeans,0.0114061663270354,92.77077126502992,e2-standard-4
2,13.0,2,buzz,xgboost,0.0046347653234932,64.02592158317566,n1-highmem-2
4,3.6,2,creditcard,quantile_transformer,0.0011944109418127,13.764018535614014,n1-highcpu-4
2,16.0,3,santander,xgboost,0.0099739738328055,120.27220892906188,e2-highmem-2
4,32.0,4,santander,xgboost,0.0149116153667344,67.42997884750366,e2-highmem-4
4,32.0,4,creditcard,poisson_regression,0.0106100054934893,47.97819876670837,e2-highmem-4
4,32.0,3,creditcard,linear_regression,0.0112261645512906,67.68594098091125,e2-highmem-4
2,7.5,3,santander,quantile_transformer,0.0069638727778196,79.89146590232849,n1-standard-2
4,16.0,5,santander,logistic_regression,0.0196439797990123,95.86326050758362,e2-standard-4
4,3.6,5,santander,xgboost,0.013303292764359,61.32119584083557,n1-highcpu-4
4,4.0,3,creditcard,kmeans,0.0012087689115166,13.316832780838013,e2-highcpu-4
2,16.0,2,creditcard,standard_scaler,0.0004378971009299,7.920642137527466,e2-highmem-2
2,8.0,4,buzz,naive_bayes,0.0003301396209001,4.027730226516724,e2-standard-2
4,16.0,2,buzz,poisson_regression,0.0097188273517608,118.57048416137695,e2-standard-4
2,16.0,2,santander,quantile_transformer,0.0060424693331538,109.2956247329712,e2-highmem-2
4,4.0,4,creditcard,spectral_clustering,0.0081145164051882,67.0473427772522,e2-highcpu-4
2,8.0,3,creditcard,poisson_regression,0.0044486604487001,72.36535906791687,e2-standard-2
2,13.0,5,buzz,quantile_transformer,0.0043086230555839,23.80820107460022,n1-highmem-2
4,16.0,4,santander,logistic_regression,0.019905592680486,121.42492485046388,e2-standard-4
4,16.0,2,buzz,xgboost,0.0029578080133597,36.085498332977295,e2-standard-4
4,32.0,3,santander,poisson_regression,0.0784446178011393,472.9663231372833,e2-highmem-4
4,16.0,3,santander,kmeans,0.0123617824553251,100.54316759109496,e2-standard-4
2,7.5,2,santander,quantile_transformer,0.0051446178967952,88.53070950508118,n1-standard-2
4,4.0,5,creditcard,linear_regression,0.0063367509650309,41.886642932891846,e2-highcpu-4
2,2.0,2,santander,standard_scaler,0.0005212132231839,17.22639274597168,e2-highcpu-2
2,8.0,5,creditcard,poisson_regression,0.0048778601791361,47.60823273658752,e2-standard-2
4,32.0,3,buzz,xgboost,0.0051044439250071,30.77623605728149,e2-highmem-4
4,15.0,2,creditcard,spectral_clustering,0.0106644546808136,91.75917029380798,n1-standard-4
2,13.0,3,santander,logistic_regression,0.0259754930556019,239.2217319011688,n1-highmem-2
4,16.0,5,buzz,kmeans,0.0052032852750619,25.39220142364502,e2-standard-4
2,13.0,4,creditcard,quantile_transformer,0.0017229418981605,11.900596380233765,n1-highmem-2
2,7.5,5,creditcard,linear_regression,0.0086689396214485,59.67147731781006,n1-standard-2
4,32.0,2,buzz,xgboost,0.0041129016281482,37.19689154624939,e2-highmem-4
2,13.0,4,santander,standard_scaler,0.0032183281957838,22.229434967041016,n1-highmem-2
2,1.8,3,buzz,linear_regression,0.0322808964035113,495.99328660964966,n1-highcpu-2
4,3.6,5,creditcard,quantile_transformer,0.0020389570087856,9.398521423339844,n1-highcpu-4
4,3.6,4,creditcard,logistic_regression,0.0047736305962668,27.504913806915283,n1-highcpu-4
2,1.8,4,santander,poisson_regression,0.048559595539146,559.5856080055237,n1-highcpu-2
4,32.0,2,creditcard,spectral_clustering,0.0117023574242904,105.83557772636414,e2-highmem-4
2,8.0,2,buzz,poisson_regression,0.0046942558172543,114.54060554504396,e2-standard-2
4,16.0,3,buzz,quantile_transformer,0.0030749489247798,25.00975131988525,e2-standard-4
4,32.0,5,creditcard,poisson_regression,0.0098754041494753,35.72507882118225,e2-highmem-4
4,16.0,2,buzz,naive_bayes,0.0005035147555828,6.142920970916748,e2-standard-4
2,13.0,4,buzz,linear_regression,0.0861019689020315,594.71812748909,n1-highmem-2
2,2.0,2,santander,naive_bayes,0.0004604327862747,15.217564821243286,e2-highcpu-2
2,16.0,4,creditcard,kmeans,0.0019263301887014,17.421640872955322,e2-highmem-2
4,16.0,3,buzz,kmeans,0.0039062621148228,31.771143674850464,e2-standard-4
4,26.0,5,santander,poisson_regression,0.1599184219619962,441.8314037322998,n1-highmem-4
2,8.0,2,creditcard,kmeans,0.0007535867206811,18.38763856887817,e2-standard-2
2,13.0,4,buzz,poisson_regression,0.014117970704582,97.51476311683656,n1-highmem-2
4,26.0,4,santander,logistic_regression,0.0351507185086674,121.39542078971864,n1-highmem-4
4,32.0,3,santander,xgboost,0.0118357820250916,71.36150908470154,e2-highmem-4
2,7.5,3,santander,logistic_regression,0.0212982052340904,244.33887457847595,n1-standard-2
